,song_id,song_name,img,duration_ms,song_explicit,url,popularity,date_time_played,album_id,artist_id,scrape1,scraper2
0,6RFkVsPmrM4pzlDkFswwJl,God's Gonna Cut You Down,https://i.scdn.co/image/ab67616d0000b273bed30c3640a8c8929d65ed3f,158573,False,https://open.spotify.com/track/6RFkVsPmrM4pzlDkFswwJl,66,2022-02-23 00:30:10.729000+00:00,40ObOkEaQKVmcJ6k1W2xMg,Johnny Cash,2006- 12- 15,1932- 02- 26
1,3BCsNM2w6HcCbrVWlhjTpk,White House Road (OurVinyl Sessions),https://i.scdn.co/image/ab67616d0000b27300371fe8dea3aaee297644cf,268000,False,https://open.spotify.com/track/3BCsNM2w6HcCbrVWlhjTpk,61,2022-02-22 23:53:19.185000+00:00,42nsomRaEURVkNt7IF1IFu,Tyler Childers,2017- 05- 30,1991- 06- 21
2,0VW1dAC98JfVPLGd7oj2lM,Ten Million Slaves,https://i.scdn.co/image/ab67616d0000b273b3c466fe5d79d1bcbee8decc,247573,False,https://open.spotify.com/track/0VW1dAC98JfVPLGd7oj2lM,42,2022-02-22 23:48:50.785000+00:00,1i8iwrlxbnQEttO0uSMZ7h,Otis Taylor,2012,0
3,2iPTESocncak2Q45oXzKOG,Beat the Devil's Tattoo,https://i.scdn.co/image/ab67616d0000b273f78d05679587a7aa8ff45fe0,225760,False,https://open.spotify.com/track/2iPTESocncak2Q45oXzKOG,56,2022-02-22 23:44:42.210000+00:00,04Aq1J0F5FcUUSEhFziTYc,Black Rebel Motorcycle Club,2010- 03- 16,0
4,6ZWn1MVUaBH2HNQobhMYeE,Little Black Submarines - Radio Edit [radio edit],https://i.scdn.co/image/ab67616d0000b2735075047f270e38efd3ed02b3,204692,False,https://open.spotify.com/track/6ZWn1MVUaBH2HNQobhMYeE,50,2022-02-22 23:26:42.996000+00:00,2ZO3hTVFwvi08797IONxbs,The Black Keys,2012,0
5,3Ozx6IrGdoQyAworJzvBDE,Sleeping on the Blacktop,https://i.scdn.co/image/ab67616d0000b27359ba80a8249aea7f2cae1be5,192480,False,https://open.spotify.com/track/3Ozx6IrGdoQyAworJzvBDE,74,2022-02-22 23:23:17.249000+00:00,1widYgH6RNVOxnLOiVeihU,Colter Wall,2017- 05- 12,1995- 06- 27
6,03lqA3UdcJdxAWEwQ5KlBo,Virginia Highway,https://i.scdn.co/image/ab67616d0000b273ba5618f31cd6081f8b6cb694,144339,False,https://open.spotify.com/track/03lqA3UdcJdxAWEwQ5KlBo,43,2022-02-22 21:24:59.942000+00:00,3uWpYHFY0UmEZQMorzlohY,Tigerblood Jewel,2018- 05- 25,0
7,03lqA3UdcJdxAWEwQ5KlBo,Virginia Highway,https://i.scdn.co/image/ab67616d0000b273ba5618f31cd6081f8b6cb694,144339,False,https://open.spotify.com/track/03lqA3UdcJdxAWEwQ5KlBo,43,2022-02-22 20:50:47.991000+00:00,3uWpYHFY0UmEZQMorzlohY,Tigerblood Jewel,2018- 05- 25,0
8,03lqA3UdcJdxAWEwQ5KlBo,Virginia Highway,https://i.scdn.co/image/ab67616d0000b273ba5618f31cd6081f8b6cb694,144339,False,https://open.spotify.com/track/03lqA3UdcJdxAWEwQ5KlBo,43,2022-02-22 20:21:34.992000+00:00,3uWpYHFY0UmEZQMorzlohY,Tigerblood Jewel,2018- 05- 25,0
9,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3,312820,True,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,85,2022-02-22 20:10:17.417000+00:00,41GuZcammIkupMPKH2OJ6I,Travis Scott,2018- 08- 21,1991- 04- 30
